Layer,From,N,Params,Module,Arguments
126,123,1,0,SiLU,[]
127,118,1,0,ModuleList,[]
128,127,1,0,Bottleneck,[]
129,128,1,0,Conv,[]
130,129,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
131,129,1,0,BatchNorm2d,[]
132,129,1,0,SiLU,[]
133,128,1,0,Conv,[]
134,133,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
135,133,1,0,BatchNorm2d,[]
136,133,1,0,SiLU,[]
137,127,1,0,Bottleneck,[]
138,137,1,0,Conv,[]
139,138,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
140,138,1,0,BatchNorm2d,[]
141,138,1,0,SiLU,[]
142,137,1,0,Conv,[]
143,142,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
144,142,1,0,BatchNorm2d,[]
145,142,1,0,SiLU,[]
146,127,1,0,Bottleneck,[]
147,146,1,0,Conv,[]
148,147,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
149,147,1,0,BatchNorm2d,[]
150,147,1,0,SiLU,[]
151,146,1,0,Conv,[]
152,151,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
153,151,1,0,BatchNorm2d,[]
154,151,1,0,SiLU,[]
155,127,1,0,Bottleneck,[]
156,155,1,0,Conv,[]
157,156,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
158,156,1,0,BatchNorm2d,[]
159,156,1,0,SiLU,[]
160,155,1,0,Conv,[]
161,160,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
162,160,1,0,BatchNorm2d,[]
163,160,1,0,SiLU,[]
164,127,1,0,Bottleneck,[]
165,164,1,0,Conv,[]
166,165,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
167,165,1,0,BatchNorm2d,[]
168,165,1,0,SiLU,[]
169,164,1,0,Conv,[]
170,169,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
171,169,1,0,BatchNorm2d,[]
172,169,1,0,SiLU,[]
173,127,1,0,Bottleneck,[]
174,173,1,0,Conv,[]
